Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BVBDortmundBorussia Dortmund,,34,20,9,5,67:33,34,49
,2,,SVWBremenSV Werder Bremen,,34,20,8,6,70:39,31,48
,3,,SCFFreiburgSC Freiburg,,34,20,6,8,66:44,22,46
,4,,FCKK'lautern1. FC Kaiserslautern,,34,17,12,5,58:41,17,46
,5,,BMGM'gladbachBorussia M'gladbach,,34,17,9,8,66:41,25,43
,6,,FCBFC BayernFC Bayern München,,34,15,13,6,55:41,14,43
,7,,B04LeverkusenBayer 04 Leverkusen,,34,13,10,11,62:51,11,36
,8,,KSCKarlsruheKarlsruher SC,,34,11,14,9,51:47,4,36
,9,,SGEFrankfurtEintracht Frankfurt,,34,12,9,13,41:49,-8,33
,10,,KOEKöln1. FC Köln,,34,11,10,13,54:54,0,32
,11,,S04SchalkeFC Schalke 04,,34,10,11,13,48:54,-6,31
,12,,VFBStuttgartVfB Stuttgart,,34,10,10,14,52:66,-14,30
,13,,HSVHamburgHamburger SV,,34,10,9,15,43:50,-7,29
,14,,M601860 MünchenTSV 1860 München,,34,8,11,15,41:57,-16,27
,15,,KREUerdingenBayer 05 Uerdingen,,34,7,11,16,37:52,-15,25
,16,,BOCBochumVfL Bochum 1848,,34,9,4,21,43:67,-24,22
,17,,MSVDuisburgMSV Duisburg,,34,6,8,20,31:64,-33,20
,18,,SGDDresden1. FC Dynamo Dresden,,34,4,8,22,33:68,-35,16
