Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,25,4,5,80:18,62,79
,2,,WOBWolfsburgVfL Wolfsburg,,34,20,9,5,72:38,34,69
,3,,BMGM'gladbachBorussia M'gladbach,,34,19,9,6,53:26,27,66
,4,,B04LeverkusenBayer 04 Leverkusen,,34,17,10,7,62:37,25,61
,5,,FCAAugsburgFC Augsburg,,34,15,4,15,43:43,0,49
,6,,S04SchalkeFC Schalke 04,,34,13,9,12,42:40,2,48
,7,,BVBDortmundBorussia Dortmund,,34,13,7,14,47:42,5,46
,8,,TSGHoffenheimTSG Hoffenheim,,34,12,8,14,49:55,-6,44
,9,,SGEFrankfurtEintracht Frankfurt,,34,11,10,13,56:62,-6,43
,10,,SVWBremenSV Werder Bremen,,34,11,10,13,50:65,-15,43
,11,,M05Mainz1. FSV Mainz 05,,34,9,13,12,45:47,-2,40
,12,,KOEKöln1. FC Köln,,34,9,13,12,34:40,-6,40
,13,,H96HannoverHannover 96,,34,9,10,15,40:56,-16,37
,14,,VFBStuttgartVfB Stuttgart,,34,9,9,16,42:60,-18,36
,15,,BSCHertha BSCHertha BSC,,34,9,8,17,36:52,-16,35
,16,,HSVHamburgHamburger SV,,34,9,8,17,25:50,-25,35
,17,,SCFFreiburgSC Freiburg,,34,7,13,14,36:47,-11,34
,18,,SCPPaderbornSC Paderborn 07,,34,7,10,17,31:65,-34,31
