Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,28,4,2,80:17,63,88
,2,,BVBDortmundBorussia Dortmund,,34,24,6,4,82:34,48,78
,3,,B04LeverkusenBayer 04 Leverkusen,,34,18,6,10,56:40,16,60
,4,,BMGM'gladbachBorussia M'gladbach,,34,17,4,13,67:50,17,55
,5,,S04SchalkeFC Schalke 04,,34,15,7,12,51:49,2,52
,6,,M05Mainz1. FSV Mainz 05,,34,14,8,12,46:42,4,50
,7,,BSCHertha BSCHertha BSC,,34,14,8,12,42:42,0,50
,8,,WOBWolfsburgVfL Wolfsburg,,34,12,9,13,47:49,-2,45
,9,,KOEKöln1. FC Köln,,34,10,13,11,38:42,-4,43
,10,,HSVHamburgHamburger SV,,34,11,8,15,40:46,-6,41
,11,,FCIIngolstadtFC Ingolstadt 04,,34,10,10,14,33:42,-9,40
,12,,FCAAugsburgFC Augsburg,,34,9,11,14,42:52,-10,38
,13,,SVWBremenSV Werder Bremen,,34,10,8,16,50:65,-15,38
,14,,SVDDarmstadtSV Darmstadt 98,,34,9,11,14,38:53,-15,38
,15,,TSGHoffenheimTSG Hoffenheim,,34,9,10,15,39:54,-15,37
,16,,SGEFrankfurtEintracht Frankfurt,,34,9,9,16,34:52,-18,36
,17,,VFBStuttgartVfB Stuttgart,,34,9,6,19,50:75,-25,33
,18,,H96HannoverHannover 96,,34,7,4,23,31:62,-31,25
