Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,21,8,5,79:38,41,50
,2,,SVWBremenSV Werder Bremen,,34,18,10,6,87:51,36,46
,3,,KOEKöln1. FC Köln,,34,18,4,12,69:66,3,40
,4,,BMGM'gladbachBorussia M'gladbach,,34,15,9,10,77:53,24,39
,5,,HSVHamburgHamburger SV,,34,14,9,11,58:49,9,37
,6,,WMAMannheimSV Waldhof Mannheim,,34,13,11,10,47:50,-3,37
,7,,KREUerdingenBayer 05 Uerdingen,,34,14,8,12,57:52,5,36
,8,,S04SchalkeFC Schalke 04,,34,13,8,13,63:62,1,34
,9,,BOCBochumVfL Bochum 1848,,34,12,10,12,52:54,-2,34
,10,,VFBStuttgartVfB Stuttgart,,34,14,5,15,79:59,20,33
,11,,FCKK'lautern1. FC Kaiserslautern,,34,11,11,12,56:60,-4,33
,12,,SGEFrankfurtEintracht Frankfurt,,34,10,12,12,62:67,-5,32
,13,,B04LeverkusenBayer 04 Leverkusen,,34,9,13,12,52:54,-2,31
,14,,BVBDortmundBorussia Dortmund,,34,13,4,17,51:65,-14,30
,15,,F95DüsseldorfFortuna Düsseldorf,,34,10,9,15,53:66,-13,29
,16,,DSCBielefeldDSC Arminia Bielefeld,,34,8,13,13,46:61,-15,29
,17,,KSCKarlsruheKarlsruher SC,,34,5,12,17,47:88,-41,22
,18,,EBSBraunschweigEintracht Braunschweig,,34,9,2,23,39:79,-40,20
