Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,VFBStuttgartVfB Stuttgart,,38,21,10,7,62:32,30,52
,2,,BVBDortmundBorussia Dortmund,,38,20,12,6,66:47,19,52
,3,,SGEFrankfurtEintracht Frankfurt,,38,18,14,6,76:41,35,50
,4,,KOEKöln1. FC Köln,,38,13,18,7,58:41,17,44
,5,,FCKK'lautern1. FC Kaiserslautern,,38,17,10,11,58:42,16,44
,6,,B04LeverkusenBayer 04 Leverkusen,,38,15,13,10,53:39,14,43
,7,,FCNNürnberg1. FC Nürnberg,,38,18,7,13,54:51,3,43
,8,,KSCKarlsruheKarlsruher SC,,38,16,9,13,48:50,-2,41
,9,,SVWBremenSV Werder Bremen,,38,11,16,11,44:45,-1,38
,10,,FCBFC BayernFC Bayern München,,38,13,10,15,59:61,-2,36
,11,,S04SchalkeFC Schalke 04,,38,11,12,15,45:45,0,34
,12,,HSVHamburgHamburger SV,,38,9,16,13,32:43,-11,34
,13,,BMGM'gladbachBorussia M'gladbach,,38,10,14,14,37:49,-12,34
,14,,SGDDresden1. FC Dynamo Dresden,,38,12,10,16,34:50,-16,34
,15,,BOCBochumVfL Bochum 1848,,38,10,13,15,38:55,-17,33
,16,,WATWattenscheidSG Wattenscheid 09,,38,9,14,15,50:60,-10,32
,17,,STKStgt. KickersSV Stuttgarter Kickers,,38,10,11,17,53:64,-11,31
,18,,FCHRostockFC Hansa Rostock,,38,10,11,17,43:55,-12,31
,19,,MSVDuisburgMSV Duisburg,,38,7,16,15,43:55,-12,30
,20,,F95DüsseldorfFortuna Düsseldorf,,38,6,12,20,41:69,-28,24
