Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BVBDortmundBorussia Dortmund,,34,23,6,5,67:22,45,75
,2,,B04LeverkusenBayer 04 Leverkusen,,34,20,8,6,64:44,20,68
,3,,FCBFC BayernFC Bayern München,,34,19,8,7,81:40,41,65
,4,,H96HannoverHannover 96,,34,19,3,12,49:45,4,60
,5,,M05Mainz1. FSV Mainz 05,,34,18,4,12,52:39,13,58
,6,,FCNNürnberg1. FC Nürnberg,,34,13,8,13,47:45,2,47
,7,,FCKK'lautern1. FC Kaiserslautern,,34,13,7,14,48:51,-3,46
,8,,HSVHamburgHamburger SV,,34,12,9,13,46:52,-6,45
,9,,SCFFreiburgSC Freiburg,,34,13,5,16,41:50,-9,44
,10,,KOEKöln1. FC Köln,,34,13,5,16,47:62,-15,44
,11,,TSGHoffenheimTSG Hoffenheim,,34,11,10,13,50:50,0,43
,12,,VFBStuttgartVfB Stuttgart,,34,12,6,16,60:59,1,42
,13,,SVWBremenSV Werder Bremen,,34,10,11,13,47:61,-14,41
,14,,S04SchalkeFC Schalke 04,,34,11,7,16,38:44,-6,40
,15,,WOBWolfsburgVfL Wolfsburg,,34,9,11,14,43:48,-5,38
,16,,BMGM'gladbachBorussia M'gladbach,,34,10,6,18,48:65,-17,36
,17,,SGEFrankfurtEintracht Frankfurt,,34,9,7,18,31:49,-18,34
,18,,STPSt. PauliFC St. Pauli,,34,8,5,21,35:68,-33,29
