Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCKK'lautern1. FC Kaiserslautern,,34,19,10,5,72:45,27,48
,2,,FCBFC BayernFC Bayern München,,34,18,9,7,74:41,33,45
,3,,SVWBremenSV Werder Bremen,,34,14,14,6,46:29,17,42
,4,,SGEFrankfurtEintracht Frankfurt,,34,15,10,9,63:40,23,40
,5,,HSVHamburgHamburger SV,,34,16,8,10,60:38,22,40
,6,,VFBStuttgartVfB Stuttgart,,34,14,10,10,57:44,13,38
,7,,KOEKöln1. FC Köln,,34,13,11,10,50:43,7,37
,8,,B04LeverkusenBayer 04 Leverkusen,,34,11,13,10,47:46,1,35
,9,,BMGM'gladbachBorussia M'gladbach,,34,9,17,8,49:54,-5,35
,10,,BVBDortmundBorussia Dortmund,,34,10,14,10,46:57,-11,34
,11,,WATWattenscheidSG Wattenscheid 09,,34,9,15,10,42:51,-9,33
,12,,F95DüsseldorfFortuna Düsseldorf,,34,11,10,13,40:49,-9,32
,13,,KSCKarlsruheKarlsruher SC,,34,8,15,11,46:52,-6,31
,14,,BOCBochumVfL Bochum 1848,,34,9,11,14,50:52,-2,29
,15,,FCNNürnberg1. FC Nürnberg,,34,10,9,15,40:54,-14,29
,16,,STPSt. PauliFC St. Pauli,,34,6,15,13,33:53,-20,27
,17,,KREUerdingenBayer 05 Uerdingen,,34,5,13,16,34:54,-20,23
,18,,BSCHertha BSCHertha BSC,,34,3,8,23,37:84,-47,14
