Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,22,7,5,73:28,45,73
,2,,B04LeverkusenBayer 04 Leverkusen,,34,21,10,3,74:36,38,73
,3,,HSVHamburgHamburger SV,,34,16,11,7,63:39,24,59
,4,,M601860 MünchenTSV 1860 München,,34,14,11,9,55:48,7,53
,5,,FCKK'lautern1. FC Kaiserslautern,,34,15,5,14,54:59,-5,50
,6,,BSCHertha BSCHertha BSC,,34,13,11,10,39:46,-7,50
,7,,WOBWolfsburgVfL Wolfsburg,,34,12,13,9,51:58,-7,49
,8,,VFBStuttgartVfB Stuttgart,,34,14,6,14,44:47,-3,48
,9,,SVWBremenSV Werder Bremen,,34,13,8,13,65:52,13,47
,10,,UNTUnterhachingSpVgg Unterhaching,,34,12,8,14,40:42,-2,44
,11,,BVBDortmundBorussia Dortmund,,34,9,13,12,41:38,3,40
,12,,SCFFreiburgSC Freiburg,,34,10,10,14,45:50,-5,40
,13,,S04SchalkeFC Schalke 04,,34,8,15,11,42:44,-2,39
,13,,SGEFrankfurtEintracht Frankfurt,,34,12,5,17,42:44,-2,39
,15,,FCHRostockFC Hansa Rostock,,34,8,14,12,44:60,-16,38
,16,,ULMUlmSSV Ulm 1846,,34,9,8,17,36:62,-26,35
,17,,DSCBielefeldDSC Arminia Bielefeld,,34,7,9,18,40:61,-21,30
,18,,MSVDuisburgMSV Duisburg,,34,4,10,20,37:71,-34,22
