Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,17,10,7,68:37,31,44
,2,,FCKK'lautern1. FC Kaiserslautern,,34,18,7,9,64:36,28,43
,3,,B04LeverkusenBayer 04 Leverkusen,,34,14,11,9,60:47,13,39
,4,,BVBDortmundBorussia Dortmund,,34,15,9,10,49:45,4,39
,5,,SGEFrankfurtEintracht Frankfurt,,34,15,8,11,57:41,16,38
,6,,KSCKarlsruheKarlsruher SC,,34,14,10,10,46:43,3,38
,7,,VFBStuttgartVfB Stuttgart,,34,13,11,10,51:43,8,37
,8,,SVWBremenSV Werder Bremen,,34,13,10,11,51:44,7,36
,9,,MSVDuisburgMSV Duisburg,,34,14,8,12,41:52,-11,36
,10,,BMGM'gladbachBorussia M'gladbach,,34,14,7,13,65:59,6,35
,11,,KOEKöln1. FC Köln,,34,14,6,14,49:51,-2,34
,12,,HSVHamburgHamburger SV,,34,13,8,13,48:52,-4,34
,13,,SGDDresden1. FC Dynamo Dresden,,34,10,14,10,33:44,-11,30
,14,,S04SchalkeFC Schalke 04,,34,10,9,15,38:50,-12,29
,15,,SCFFreiburgSC Freiburg,,34,10,8,16,54:57,-3,28
,16,,FCNNürnberg1. FC Nürnberg,,34,10,8,16,41:55,-14,28
,17,,WATWattenscheidSG Wattenscheid 09,,34,6,11,17,48:70,-22,23
,18,,LEIVfB LeipzigVfB Leipzig,,34,3,11,20,32:69,-37,17
