Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,20,9,5,95:53,42,49
,2,,BMGM'gladbachBorussia M'gladbach,,34,21,6,7,93:52,41,48
,3,,F95DüsseldorfFortuna Düsseldorf,,34,16,9,9,61:47,14,41
,4,,SGEFrankfurtEintracht Frankfurt,,34,15,11,8,63:50,13,41
,5,,KOEKöln1. FC Köln,,34,16,7,11,69:56,13,39
,6,,FCKK'lautern1. FC Kaiserslautern,,34,15,8,11,80:69,11,38
,7,,S04SchalkeFC Schalke 04,,34,16,5,13,72:68,4,37
,8,,BSCHertha BSCHertha BSC,,34,11,11,12,56:60,-4,33
,9,,VFBStuttgartVfB Stuttgart,,34,12,7,15,58:57,1,31
,10,,OFFOffenbachKickers Offenbach,,34,11,9,14,56:62,-6,31
,11,,SVWBremenSV Werder Bremen,,34,9,13,12,48:56,-8,31
,12,,HSVHamburgHamburger SV,,34,13,5,16,53:62,-9,31
,13,,RWEEssenRot-Weiss Essen,,34,10,11,13,56:70,-14,31
,14,,BOCBochumVfL Bochum 1848,,34,9,12,13,45:57,-12,30
,15,,MSVDuisburgMSV Duisburg,,34,11,7,16,42:56,-14,29
,16,,WUPWuppertaler SVWuppertaler SV,,34,8,9,17,42:65,-23,25
,17,,FKFortuna KölnSC Fortuna Köln,,34,8,9,17,46:79,-33,25
,18,,H96HannoverHannover 96,,34,6,10,18,50:66,-16,22
