Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,20,10,4,72:31,41,70
,2,,S04SchalkeFC Schalke 04,,34,19,8,7,53:31,22,65
,3,,SVWBremenSV Werder Bremen,,34,17,10,7,71:40,31,61
,4,,B04LeverkusenBayer 04 Leverkusen,,34,15,14,5,65:38,27,59
,5,,BVBDortmundBorussia Dortmund,,34,16,9,9,54:42,12,57
,6,,VFBStuttgartVfB Stuttgart,,34,15,10,9,51:41,10,55
,7,,HSVHamburgHamburger SV,,34,13,13,8,56:41,15,52
,8,,WOBWolfsburgVfL Wolfsburg,,34,14,8,12,64:58,6,50
,9,,M05Mainz1. FSV Mainz 05,,34,12,11,11,36:42,-6,47
,10,,SGEFrankfurtEintracht Frankfurt,,34,12,10,12,47:54,-7,46
,11,,TSGHoffenheimTSG Hoffenheim,,34,11,9,14,44:42,2,42
,12,,BMGM'gladbachBorussia M'gladbach,,34,10,9,15,43:60,-17,39
,13,,KOEKöln1. FC Köln,,34,9,11,14,33:42,-9,38
,14,,SCFFreiburgSC Freiburg,,34,9,8,17,35:59,-24,35
,15,,H96HannoverHannover 96,,34,9,6,19,43:67,-24,33
,16,,FCNNürnberg1. FC Nürnberg,,34,8,7,19,32:58,-26,31
,17,,BOCBochumVfL Bochum 1848,,34,6,10,18,33:64,-31,28
,18,,BSCHertha BSCHertha BSC,,34,5,9,20,34:56,-22,24
