Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BMGM'gladbachBorussia M'gladbach,,34,21,8,5,86:40,46,50
,2,,BSCHertha BSCHertha BSC,,34,19,6,9,61:43,18,44
,3,,SGEFrankfurtEintracht Frankfurt,,34,18,7,9,89:49,40,43
,4,,HSVHamburgHamburger SV,,34,18,7,9,55:38,17,43
,5,,KOEKöln1. FC Köln,,34,17,7,10,77:51,26,41
,6,,F95DüsseldorfFortuna Düsseldorf,,34,16,9,9,66:55,11,41
,7,,S04SchalkeFC Schalke 04,,34,16,7,11,52:37,15,39
,8,,OFFOffenbachKickers Offenbach,,34,17,4,13,72:62,10,38
,9,,EBSBraunschweigEintracht Braunschweig,,34,14,8,12,52:42,10,36
,10,,FCBFC BayernFC Bayern München,,34,14,6,14,57:63,-6,34
,11,,BOCBochumVfL Bochum 1848,,34,14,5,15,53:53,0,33
,12,,RWEEssenRot-Weiss Essen,,34,10,12,12,56:68,-12,32
,13,,FCKK'lautern1. FC Kaiserslautern,,34,13,5,16,56:55,1,31
,14,,MSVDuisburgMSV Duisburg,,34,12,6,16,59:77,-18,30
,15,,SVWBremenSV Werder Bremen,,34,9,7,18,45:69,-24,25
,16,,VFBStuttgartVfB Stuttgart,,34,8,8,18,50:79,-29,24
,17,,TBBTeBe BerlinTennis Borussia Berlin,,34,5,6,23,38:89,-51,16
,18,,WUPWuppertaler SVWuppertaler SV,,34,2,8,24,32:86,-54,12
