Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,VFBStuttgartVfB Stuttgart,,34,19,10,5,79:33,46,48
,2,,HSVHamburgHamburger SV,,34,21,6,7,75:36,39,48
,3,,BMGM'gladbachBorussia M'gladbach,,34,21,6,7,81:48,33,48
,4,,FCBFC BayernFC Bayern München,,34,20,7,7,84:41,43,47
,5,,SVWBremenSV Werder Bremen,,34,19,7,8,79:46,33,45
,6,,KOEKöln1. FC Köln,,34,16,6,12,70:57,13,38
,7,,B04LeverkusenBayer 04 Leverkusen,,34,13,8,13,50:50,0,34
,8,,DSCBielefeldDSC Arminia Bielefeld,,34,12,9,13,40:49,-9,33
,9,,EBSBraunschweigEintracht Braunschweig,,34,13,6,15,54:69,-15,32
,10,,KREUerdingenBayer 05 Uerdingen,,34,12,7,15,66:79,-13,31
,11,,WMAMannheimSV Waldhof Mannheim,,34,10,11,13,45:58,-13,31
,12,,FCKK'lautern1. FC Kaiserslautern,,34,12,6,16,68:69,-1,30
,13,,BVBDortmundBorussia Dortmund,,34,11,8,15,54:65,-11,30
,14,,F95DüsseldorfFortuna Düsseldorf,,34,11,7,16,63:75,-12,29
,15,,BOCBochumVfL Bochum 1848,,34,10,8,16,58:70,-12,28
,16,,SGEFrankfurtEintracht Frankfurt,,34,7,13,14,45:61,-16,27
,17,,OFFOffenbachKickers Offenbach,,34,7,5,22,48:106,-58,19
,18,,FCNNürnberg1. FC Nürnberg,,34,6,2,26,38:85,-47,14
