Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,SVWBremenSV Werder Bremen,,34,19,10,5,63:30,33,48
,2,,FCBFC BayernFC Bayern München,,34,18,11,5,74:45,29,47
,3,,SGEFrankfurtEintracht Frankfurt,,34,15,12,7,56:39,17,42
,4,,BVBDortmundBorussia Dortmund,,34,18,5,11,61:43,18,41
,5,,B04LeverkusenBayer 04 Leverkusen,,34,14,12,8,64:45,19,40
,6,,KSCKarlsruheKarlsruher SC,,34,14,11,9,60:54,6,39
,7,,VFBStuttgartVfB Stuttgart,,34,12,12,10,56:50,6,36
,8,,FCKK'lautern1. FC Kaiserslautern,,34,13,9,12,50:40,10,35
,9,,BMGM'gladbachBorussia M'gladbach,,34,13,9,12,59:59,0,35
,10,,S04SchalkeFC Schalke 04,,34,11,12,11,42:43,-1,34
,11,,HSVHamburgHamburger SV,,34,8,15,11,42:44,-2,31
,12,,KOEKöln1. FC Köln,,34,12,4,18,41:51,-10,28
,13,,FCNNürnberg1. FC Nürnberg,,34,10,8,16,30:47,-17,28
,14,,WATWattenscheidSG Wattenscheid 09,,34,10,8,16,46:67,-21,28
,15,,SGDDresden1. FC Dynamo Dresden,,34,7,13,14,32:49,-17,27
,16,,BOCBochumVfL Bochum 1848,,34,8,10,16,45:52,-7,26
,17,,KREUerdingenBayer 05 Uerdingen,,34,7,10,17,35:64,-29,24
,18,,FCSSaarbrücken1. FC Saarbrücken,,34,5,13,16,37:71,-34,23
