Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,24,6,4,76:28,48,78
,2,,B04LeverkusenBayer 04 Leverkusen,,34,17,12,5,61:30,31,63
,3,,BSCHertha BSCHertha BSC,,34,18,8,8,59:32,27,62
,4,,BVBDortmundBorussia Dortmund,,34,16,9,9,48:34,14,57
,5,,FCKK'lautern1. FC Kaiserslautern,,34,17,6,11,51:47,4,57
,6,,WOBWolfsburgVfL Wolfsburg,,34,15,10,9,54:49,5,55
,7,,HSVHamburgHamburger SV,,34,13,11,10,47:46,1,50
,8,,MSVDuisburgMSV Duisburg,,34,13,10,11,48:45,3,49
,9,,M601860 MünchenTSV 1860 München,,34,11,8,15,49:56,-7,41
,10,,S04SchalkeFC Schalke 04,,34,10,11,13,41:54,-13,41
,11,,VFBStuttgartVfB Stuttgart,,34,9,12,13,41:48,-7,39
,12,,SCFFreiburgSC Freiburg,,34,10,9,15,36:44,-8,39
,13,,SVWBremenSV Werder Bremen,,34,10,8,16,41:47,-6,38
,14,,FCHRostockFC Hansa Rostock,,34,9,11,14,49:58,-9,38
,15,,SGEFrankfurtEintracht Frankfurt,,34,9,10,15,44:54,-10,37
,16,,FCNNürnberg1. FC Nürnberg,,34,7,16,11,40:50,-10,37
,17,,BOCBochumVfL Bochum 1848,,34,7,8,19,40:65,-25,29
,18,,BMGM'gladbachBorussia M'gladbach,,34,4,9,21,41:79,-38,21
