Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,24,6,4,88:32,56,78
,2,,BVBDortmundBorussia Dortmund,,34,23,7,4,81:44,37,76
,3,,RBLLeipzigRB Leipzig,,34,19,9,6,63:29,34,66
,4,,B04LeverkusenBayer 04 Leverkusen,,34,18,4,12,69:52,17,58
,5,,BMGM'gladbachBorussia M'gladbach,,34,16,7,11,55:42,13,55
,6,,WOBWolfsburgVfL Wolfsburg,,34,16,7,11,62:50,12,55
,7,,SGEFrankfurtEintracht Frankfurt,,34,15,9,10,60:48,12,54
,8,,SVWBremenSV Werder Bremen,,34,14,11,9,58:49,9,53
,9,,TSGHoffenheimTSG Hoffenheim,,34,13,12,9,70:52,18,51
,10,,F95DüsseldorfFortuna Düsseldorf,,34,13,5,16,49:65,-16,44
,11,,BSCHertha BSCHertha BSC,,34,11,10,13,49:57,-8,43
,12,,M05Mainz1. FSV Mainz 05,,34,12,7,15,46:57,-11,43
,13,,SCFFreiburgSC Freiburg,,34,8,12,14,46:61,-15,36
,14,,S04SchalkeFC Schalke 04,,34,8,9,17,37:55,-18,33
,15,,FCAAugsburgFC Augsburg,,34,8,8,18,51:71,-20,32
,16,,VFBStuttgartVfB Stuttgart,,34,7,7,20,32:70,-38,28
,17,,H96HannoverHannover 96,,34,5,6,23,31:71,-40,21
,18,,FCNNürnberg1. FC Nürnberg,,34,3,10,21,26:68,-42,19
