Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,HSVHamburgHamburger SV,,34,18,12,4,95:45,50,48
,2,,KOEKöln1. FC Köln,,34,18,9,7,72:38,34,45
,3,,FCBFC BayernFC Bayern München,,34,20,3,11,77:56,21,43
,4,,FCKK'lautern1. FC Kaiserslautern,,34,16,10,8,70:61,9,42
,5,,SVWBremenSV Werder Bremen,,34,17,8,9,61:52,9,42
,6,,BVBDortmundBorussia Dortmund,,34,18,5,11,59:40,19,41
,7,,BMGM'gladbachBorussia M'gladbach,,34,15,10,9,61:51,10,40
,8,,SGEFrankfurtEintracht Frankfurt,,34,17,3,14,83:72,11,37
,9,,VFBStuttgartVfB Stuttgart,,34,13,9,12,62:55,7,35
,10,,BOCBochumVfL Bochum 1848,,34,12,8,14,52:51,1,32
,11,,EBSBraunschweigEintracht Braunschweig,,34,14,4,16,61:66,-5,32
,12,,DSCBielefeldDSC Arminia Bielefeld,,34,12,6,16,46:50,-4,30
,13,,FCNNürnberg1. FC Nürnberg,,34,11,6,17,53:72,-19,28
,14,,KSCKarlsruheKarlsruher SC,,34,9,9,16,50:68,-18,27
,15,,F95DüsseldorfFortuna Düsseldorf,,34,6,13,15,48:73,-25,25
,16,,B04LeverkusenBayer 04 Leverkusen,,34,9,7,18,45:72,-27,25
,17,,SVDDarmstadtSV Darmstadt 98,,34,5,11,18,46:82,-36,21
,18,,MSVDuisburgMSV Duisburg,,34,8,3,23,40:77,-37,19
