Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,SVWBremenSV Werder Bremen,,30,15,11,4,54:29,25,41
,2,,KOEKöln1. FC Köln,,30,14,10,6,66:45,21,38
,3,,BVBDortmundBorussia Dortmund,,30,15,6,9,67:48,19,36
,4,,M601860 MünchenTSV 1860 München,,30,14,7,9,70:50,20,35
,5,,H96HannoverHannover 96,,30,13,7,10,48:42,6,33
,6,,FCNNürnberg1. FC Nürnberg,,30,11,10,9,44:38,6,32
,7,,MSVDuisburgMeidericher SV,,30,12,8,10,46:48,-2,32
,8,,SGEFrankfurtEintracht Frankfurt,,30,11,7,12,50:58,-8,29
,9,,EBSBraunschweigEintracht Braunschweig,,30,10,8,12,42:47,-5,28
,10,,BNKBor. NeunkirchenBorussia Neunkirchen,,30,9,9,12,44:48,-4,27
,11,,HSVHamburgHamburger SV,,30,11,5,14,46:56,-10,27
,12,,VFBStuttgartVfB Stuttgart,,30,9,8,13,46:50,-4,26
,13,,FCKK'lautern1. FC Kaiserslautern,,30,11,3,16,41:53,-12,25
,14,,BSCHertha BSCHertha BSC,,30,7,11,12,40:62,-22,25
,15,,KSCKarlsruheKarlsruher SC,,30,9,6,15,47:62,-15,24
,16,,S04SchalkeFC Schalke 04,,30,7,8,15,45:60,-15,22
