Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BMGM'gladbachBorussia M'gladbach,,34,17,10,7,58:34,24,44
,2,,S04SchalkeFC Schalke 04,,34,17,9,8,77:52,25,43
,3,,EBSBraunschweigEintracht Braunschweig,,34,15,13,6,56:38,18,43
,4,,SGEFrankfurtEintracht Frankfurt,,34,17,8,9,86:57,29,42
,5,,KOEKöln1. FC Köln,,34,17,6,11,83:61,22,40
,6,,HSVHamburgHamburger SV,,34,14,10,10,67:56,11,38
,7,,FCBFC BayernFC Bayern München,,34,14,9,11,74:65,9,37
,8,,BVBDortmundBorussia Dortmund,,34,12,10,12,73:64,9,34
,9,,MSVDuisburgMSV Duisburg,,34,11,12,11,60:51,9,34
,10,,BSCHertha BSCHertha BSC,,34,13,8,13,55:54,1,34
,11,,SVWBremenSV Werder Bremen,,34,13,7,14,51:59,-8,33
,12,,F95DüsseldorfFortuna Düsseldorf,,34,11,9,14,52:54,-2,31
,13,,FCKK'lautern1. FC Kaiserslautern,,34,12,5,17,53:59,-6,29
,14,,FCSSaarbrücken1. FC Saarbrücken,,34,9,11,14,43:55,-12,29
,15,,BOCBochumVfL Bochum 1848,,34,11,7,16,47:62,-15,29
,16,,KSCKarlsruheKarlsruher SC,,34,9,10,15,53:75,-22,28
,17,,TBBTeBe BerlinTennis Borussia Berlin,,34,6,10,18,47:85,-38,22
,18,,RWEEssenRot-Weiss Essen,,34,7,8,19,49:103,-54,22
