Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,SVWBremenSV Werder Bremen,,34,22,8,4,79:38,41,74
,2,,FCBFC BayernFC Bayern München,,34,20,8,6,70:39,31,68
,3,,B04LeverkusenBayer 04 Leverkusen,,34,19,8,7,73:39,34,65
,4,,VFBStuttgartVfB Stuttgart,,34,18,10,6,52:24,28,64
,5,,BOCBochumVfL Bochum 1848,,34,15,11,8,57:39,18,56
,6,,BVBDortmundBorussia Dortmund,,34,16,7,11,59:48,11,55
,7,,S04SchalkeFC Schalke 04,,34,13,11,10,49:42,7,50
,8,,HSVHamburgHamburger SV,,34,14,7,13,47:60,-13,49
,9,,FCHRostockFC Hansa Rostock,,34,12,8,14,55:54,1,44
,10,,WOBWolfsburgVfL Wolfsburg,,34,13,3,18,56:61,-5,42
,11,,BMGM'gladbachBorussia M'gladbach,,34,10,9,15,40:49,-9,39
,12,,BSCHertha BSCHertha BSC,,34,9,12,13,42:59,-17,39
,13,,SCFFreiburgSC Freiburg,,34,10,8,16,42:67,-25,38
,14,,H96HannoverHannover 96,,34,9,10,15,49:63,-14,37
,15,,FCKK'lautern1. FC Kaiserslautern,,34,11,6,17,39:62,-23,36
,16,,SGEFrankfurtEintracht Frankfurt,,34,9,5,20,36:53,-17,32
,17,,M601860 MünchenTSV 1860 München,,34,8,8,18,32:55,-23,32
,18,,KOEKöln1. FC Köln,,34,6,5,23,32:57,-25,23
