Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,22,6,6,84:33,51,50
,2,,HSVHamburgHamburger SV,,34,20,8,6,86:35,51,48
,3,,VFBStuttgartVfB Stuttgart,,34,17,7,10,75:53,22,41
,3,,FCKK'lautern1. FC Kaiserslautern,,34,18,5,11,75:53,22,41
,5,,KOEKöln1. FC Köln,,34,14,9,11,72:55,17,37
,6,,BVBDortmundBorussia Dortmund,,34,14,8,12,64:56,8,36
,7,,BMGM'gladbachBorussia M'gladbach,,34,12,12,10,61:60,1,36
,8,,S04SchalkeFC Schalke 04,,34,12,9,13,40:51,-11,33
,9,,SGEFrankfurtEintracht Frankfurt,,34,15,2,17,65:61,4,32
,10,,BOCBochumVfL Bochum 1848,,34,13,6,15,41:44,-3,32
,11,,F95DüsseldorfFortuna Düsseldorf,,34,13,6,15,62:72,-10,32
,12,,B04LeverkusenBayer 04 Leverkusen,,34,12,8,14,45:61,-16,32
,13,,M601860 MünchenTSV 1860 München,,34,10,10,14,42:53,-11,30
,14,,MSVDuisburgMSV Duisburg,,34,11,7,16,43:57,-14,29
,15,,KREUerdingenBayer 05 Uerdingen,,34,12,5,17,43:61,-18,29
,16,,BSCHertha BSCHertha BSC,,34,11,7,16,41:61,-20,29
,17,,SVWBremenSV Werder Bremen,,34,11,3,20,52:93,-41,25
,18,,EBSBraunschweigEintracht Braunschweig,,34,6,8,20,32:64,-32,20
