Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCNNürnberg1. FC Nürnberg,,34,19,9,6,71:37,34,47
,2,,SVWBremenSV Werder Bremen,,34,18,8,8,68:51,17,44
,3,,BMGM'gladbachBorussia M'gladbach,,34,15,12,7,77:45,32,42
,4,,KOEKöln1. FC Köln,,34,17,4,13,68:52,16,38
,5,,FCBFC BayernFC Bayern München,,34,16,6,12,68:58,10,38
,6,,SGEFrankfurtEintracht Frankfurt,,34,15,8,11,58:51,7,38
,7,,MSVDuisburgMSV Duisburg,,34,13,10,11,69:58,11,36
,8,,VFBStuttgartVfB Stuttgart,,34,14,7,13,65:54,11,35
,9,,EBSBraunschweigEintracht Braunschweig,,34,15,5,14,37:39,-2,35
,10,,H96HannoverHannover 96,,34,12,10,12,48:52,-4,34
,11,,AACAachenAlemannia Aachen,,34,13,8,13,52:66,-14,34
,12,,M601860 MünchenTSV 1860 München,,34,11,11,12,55:39,16,33
,13,,HSVHamburgHamburger SV,,34,11,11,12,51:54,-3,33
,14,,BVBDortmundBorussia Dortmund,,34,12,7,15,60:59,1,31
,15,,S04SchalkeFC Schalke 04,,34,11,8,15,42:48,-6,30
,16,,FCKK'lautern1. FC Kaiserslautern,,34,8,12,14,39:67,-28,28
,17,,BNKBor. NeunkirchenBorussia Neunkirchen,,34,7,5,22,33:93,-60,19
,18,,KSCKarlsruheKarlsruher SC,,34,6,5,23,32:70,-38,17
