Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,EBSBraunschweigEintracht Braunschweig,,34,17,9,8,49:27,22,43
,2,,M601860 MünchenTSV 1860 München,,34,17,7,10,60:47,13,41
,3,,BVBDortmundBorussia Dortmund,,34,15,9,10,70:41,29,39
,4,,SGEFrankfurtEintracht Frankfurt,,34,15,9,10,66:49,17,39
,5,,FCKK'lautern1. FC Kaiserslautern,,34,13,12,9,43:42,1,38
,6,,FCBFC BayernFC Bayern München,,34,16,5,13,62:47,15,37
,7,,KOEKöln1. FC Köln,,34,14,9,11,48:48,0,37
,8,,BMGM'gladbachBorussia M'gladbach,,34,12,10,12,70:49,21,34
,9,,H96HannoverHannover 96,,34,13,8,13,40:46,-6,34
,10,,FCNNürnberg1. FC Nürnberg,,34,12,10,12,43:50,-7,34
,11,,MSVDuisburgMSV Duisburg,,34,10,13,11,40:42,-2,33
,12,,VFBStuttgartVfB Stuttgart,,34,10,13,11,48:54,-6,33
,13,,KSCKarlsruheKarlsruher SC,,34,11,9,14,54:62,-8,31
,14,,HSVHamburgHamburger SV,,34,10,10,14,37:53,-16,30
,15,,S04SchalkeFC Schalke 04,,34,12,6,16,37:63,-26,30
,16,,SVWBremenSV Werder Bremen,,34,10,9,15,49:56,-7,29
,17,,F95DüsseldorfFortuna Düsseldorf,,34,9,7,18,44:66,-22,25
,18,,RWEEssenRot-Weiss Essen,,34,6,13,15,35:53,-18,25
