Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,21,7,6,82:31,51,49
,2,,SVWBremenSV Werder Bremen,,34,20,9,5,83:41,42,49
,3,,KREUerdingenBayer 05 Uerdingen,,34,19,7,8,63:60,3,45
,4,,BMGM'gladbachBorussia M'gladbach,,34,15,12,7,65:51,14,42
,5,,VFBStuttgartVfB Stuttgart,,34,17,7,10,69:45,24,41
,6,,B04LeverkusenBayer 04 Leverkusen,,34,15,10,9,63:51,12,40
,7,,HSVHamburgHamburger SV,,34,17,5,12,52:35,17,39
,8,,WMAMannheimSV Waldhof Mannheim,,34,11,11,12,41:44,-3,33
,9,,BOCBochumVfL Bochum 1848,,34,14,4,16,55:57,-2,32
,10,,S04SchalkeFC Schalke 04,,34,11,8,15,53:58,-5,30
,11,,FCKK'lautern1. FC Kaiserslautern,,34,10,10,14,49:54,-5,30
,12,,FCNNürnberg1. FC Nürnberg,,34,12,5,17,51:54,-3,29
,13,,KOEKöln1. FC Köln,,34,9,11,14,46:59,-13,29
,14,,F95DüsseldorfFortuna Düsseldorf,,34,11,7,16,54:78,-24,29
,15,,SGEFrankfurtEintracht Frankfurt,,34,7,14,13,35:49,-14,28
,16,,BVBDortmundBorussia Dortmund,,34,10,8,16,49:65,-16,28
,17,,FCSSaarbrücken1. FC Saarbrücken,,34,6,9,19,39:68,-29,21
,18,,H96HannoverHannover 96,,34,5,8,21,43:92,-49,18
