Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,24,5,5,97:37,60,77
,2,,BVBDortmundBorussia Dortmund,,34,22,3,9,85:52,33,69
,3,,B04LeverkusenBayer 04 Leverkusen,,34,19,7,8,80:47,33,64
,4,,RBLLeipzigRB Leipzig,,34,17,7,10,72:37,35,58
,5,,FCUUnion Berlin1. FC Union Berlin,,34,16,9,9,50:44,6,57
,6,,SCFFreiburgSC Freiburg,,34,15,10,9,58:46,12,55
,7,,KOEKöln1. FC Köln,,34,14,10,10,52:49,3,52
,8,,M05Mainz1. FSV Mainz 05,,34,13,7,14,50:45,5,46
,9,,TSGHoffenheimTSG Hoffenheim,,34,13,7,14,58:60,-2,46
,10,,BMGM'gladbachBorussia M'gladbach,,34,12,9,13,54:61,-7,45
,11,,SGEFrankfurtEintracht Frankfurt,,34,10,12,12,45:49,-4,42
,12,,WOBWolfsburgVfL Wolfsburg,,34,12,6,16,43:54,-11,42
,13,,BOCBochumVfL Bochum 1848,,34,12,6,16,38:52,-14,42
,14,,FCAAugsburgFC Augsburg,,34,10,8,16,39:56,-17,38
,15,,VFBStuttgartVfB Stuttgart,,34,7,12,15,41:59,-18,33
,16,,BSCHertha BSCHertha BSC,,34,9,6,19,37:71,-34,33
,17,,DSCBielefeldDSC Arminia Bielefeld,,34,5,13,16,27:53,-26,28
,18,,SGFFürthSpVgg Greuther Fürth,,34,3,9,22,28:82,-54,18
