Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,M601860 MünchenTSV 1860 München,,34,20,10,4,80:40,40,50
,2,,BVBDortmundBorussia Dortmund,,34,19,9,6,70:36,34,47
,3,,FCBFC BayernFC Bayern München,,34,20,7,7,71:38,33,47
,4,,SVWBremenSV Werder Bremen,,34,21,3,10,76:40,36,45
,5,,KOEKöln1. FC Köln,,34,19,6,9,74:41,33,44
,6,,FCNNürnberg1. FC Nürnberg,,34,14,11,9,54:43,11,39
,7,,SGEFrankfurtEintracht Frankfurt,,34,16,6,12,64:46,18,38
,8,,MSVDuisburgMeidericher SV,,34,14,8,12,70:48,22,36
,9,,HSVHamburgHamburger SV,,34,13,8,13,64:52,12,34
,10,,EBSBraunschweigEintracht Braunschweig,,34,11,12,11,49:49,0,34
,11,,VFBStuttgartVfB Stuttgart,,34,13,6,15,42:48,-6,32
,12,,H96HannoverHannover 96,,34,11,8,15,59:57,2,30
,13,,BMGM'gladbachBorussia M'gladbach,,34,9,11,14,57:68,-11,29
,14,,S04SchalkeFC Schalke 04,,34,10,7,17,33:55,-22,27
,15,,FCKK'lautern1. FC Kaiserslautern,,34,8,10,16,42:65,-23,26
,16,,KSCKarlsruheKarlsruher SC,,34,9,6,19,35:71,-36,24
,17,,BNKBor. NeunkirchenBorussia Neunkirchen,,34,9,4,21,32:82,-50,22
,18,,TASTasmaniaTasmania Berlin,,34,2,4,28,15:108,-93,8
