Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,24,6,4,99:44,55,78
,2,,RBLLeipzigRB Leipzig,,34,19,8,7,60:32,28,65
,3,,BVBDortmundBorussia Dortmund,,34,20,4,10,75:46,29,64
,4,,WOBWolfsburgVfL Wolfsburg,,34,17,10,7,61:37,24,61
,5,,SGEFrankfurtEintracht Frankfurt,,34,16,12,6,69:53,16,60
,6,,B04LeverkusenBayer 04 Leverkusen,,34,14,10,10,53:39,14,52
,7,,FCUUnion Berlin1. FC Union Berlin,,34,12,14,8,50:43,7,50
,8,,BMGM'gladbachBorussia M'gladbach,,34,13,10,11,64:56,8,49
,9,,VFBStuttgartVfB Stuttgart,,34,12,9,13,56:55,1,45
,10,,SCFFreiburgSC Freiburg,,34,12,9,13,52:52,0,45
,11,,TSGHoffenheimTSG Hoffenheim,,34,11,10,13,52:54,-2,43
,12,,M05Mainz1. FSV Mainz 05,,34,10,9,15,39:56,-17,39
,13,,FCAAugsburgFC Augsburg,,34,10,6,18,36:54,-18,36
,14,,BSCHertha BSCHertha BSC,,34,8,11,15,41:52,-11,35
,15,,DSCBielefeldDSC Arminia Bielefeld,,34,9,8,17,26:52,-26,35
,16,,KOEKöln1. FC Köln,,34,8,9,17,34:60,-26,33
,17,,SVWBremenSV Werder Bremen,,34,7,10,17,36:57,-21,31
,18,,S04SchalkeFC Schalke 04,,34,3,7,24,25:86,-61,16
