Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,VFBStuttgartVfB Stuttgart,,34,21,7,6,61:37,24,70
,2,,S04SchalkeFC Schalke 04,,34,21,5,8,53:32,21,68
,3,,SVWBremenSV Werder Bremen,,34,20,6,8,76:40,36,66
,4,,FCBFC BayernFC Bayern München,,34,18,6,10,55:40,15,60
,5,,B04LeverkusenBayer 04 Leverkusen,,34,15,6,13,54:49,5,51
,6,,FCNNürnberg1. FC Nürnberg,,34,11,15,8,43:32,11,48
,7,,HSVHamburgHamburger SV,,34,10,15,9,43:37,6,45
,8,,BOCBochumVfL Bochum 1848,,34,13,6,15,49:50,-1,45
,9,,BVBDortmundBorussia Dortmund,,34,12,8,14,41:43,-2,44
,10,,BSCHertha BSCHertha BSC,,34,12,8,14,50:55,-5,44
,11,,H96HannoverHannover 96,,34,12,8,14,41:50,-9,44
,12,,DSCBielefeldDSC Arminia Bielefeld,,34,11,9,14,47:49,-2,42
,13,,FCECottbusFC Energie Cottbus,,34,11,8,15,38:49,-11,41
,14,,SGEFrankfurtEintracht Frankfurt,,34,9,13,12,46:58,-12,40
,15,,WOBWolfsburgVfL Wolfsburg,,34,8,13,13,37:45,-8,37
,16,,M05Mainz1. FSV Mainz 05,,34,8,10,16,34:57,-23,34
,17,,AACAachenAlemannia Aachen,,34,9,7,18,46:70,-24,34
,18,,BMGM'gladbachBorussia M'gladbach,,34,6,8,20,23:44,-21,26
