Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,22,9,3,89:41,48,53
,2,,HSVHamburgHamburger SV,,34,21,7,6,73:43,30,49
,3,,VFBStuttgartVfB Stuttgart,,34,19,8,7,70:44,26,46
,4,,FCKK'lautern1. FC Kaiserslautern,,34,17,10,7,60:37,23,44
,5,,SGEFrankfurtEintracht Frankfurt,,34,13,12,9,61:57,4,38
,6,,BMGM'gladbachBorussia M'gladbach,,34,15,7,12,68:64,4,37
,7,,BVBDortmundBorussia Dortmund,,34,13,9,12,69:59,10,35
,8,,KOEKöln1. FC Köln,,34,12,10,12,54:55,-1,34
,9,,BOCBochumVfL Bochum 1848,,34,9,15,10,53:45,8,33
,10,,KSCKarlsruheKarlsruher SC,,34,9,14,11,56:63,-7,32
,11,,B04LeverkusenBayer 04 Leverkusen,,34,10,10,14,52:53,-1,30
,12,,MSVDuisburgMSV Duisburg,,34,10,9,15,45:58,-13,29
,13,,F95DüsseldorfFortuna Düsseldorf,,34,10,8,16,57:64,-7,28
,14,,FCNNürnberg1. FC Nürnberg,,34,11,6,17,47:57,-10,28
,15,,DSCBielefeldDSC Arminia Bielefeld,,34,10,6,18,46:65,-19,26
,16,,M601860 MünchenTSV 1860 München,,34,9,7,18,49:67,-18,25
,17,,S04SchalkeFC Schalke 04,,34,8,7,19,43:88,-45,23
,18,,KREUerdingenBayer 05 Uerdingen,,34,8,6,20,47:79,-32,22
