Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,22,10,2,68:21,47,76
,2,,SVWBremenSV Werder Bremen,,34,20,6,8,75:45,30,66
,3,,S04SchalkeFC Schalke 04,,34,18,10,6,55:32,23,64
,4,,HSVHamburgHamburger SV,,34,14,12,8,47:26,21,54
,5,,WOBWolfsburgVfL Wolfsburg,,34,15,9,10,58:46,12,54
,6,,VFBStuttgartVfB Stuttgart,,34,16,4,14,57:57,0,52
,7,,B04LeverkusenBayer 04 Leverkusen,,34,15,6,13,57:40,17,51
,8,,H96HannoverHannover 96,,34,13,10,11,54:56,-2,49
,9,,SGEFrankfurtEintracht Frankfurt,,34,12,10,12,43:50,-7,46
,10,,BSCHertha BSCHertha BSC,,34,12,8,14,39:44,-5,44
,11,,KSCKarlsruheKarlsruher SC,,34,11,10,13,38:53,-15,43
,12,,BOCBochumVfL Bochum 1848,,34,10,11,13,48:54,-6,41
,13,,BVBDortmundBorussia Dortmund,,34,10,10,14,50:62,-12,40
,14,,FCECottbusFC Energie Cottbus,,34,9,9,16,35:56,-21,36
,15,,DSCBielefeldDSC Arminia Bielefeld,,34,8,10,16,35:60,-25,34
,16,,FCNNürnberg1. FC Nürnberg,,34,7,10,17,35:51,-16,31
,17,,FCHRostockFC Hansa Rostock,,34,8,6,20,30:52,-22,30
,18,,MSVDuisburgMSV Duisburg,,34,8,5,21,36:55,-19,29
