Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,25,4,5,93:29,64,54
,2,,KOEKöln1. FC Köln,,34,16,11,7,66:51,15,43
,3,,F95DüsseldorfFortuna Düsseldorf,,34,15,12,7,62:45,17,42
,4,,WUPWuppertaler SVWuppertaler SV,,34,15,10,9,62:49,13,40
,5,,BMGM'gladbachBorussia M'gladbach,,34,17,5,12,82:61,21,39
,6,,VFBStuttgartVfB Stuttgart,,34,17,3,14,71:65,6,37
,7,,OFFOffenbachKickers Offenbach,,34,14,7,13,61:60,1,35
,8,,SGEFrankfurtEintracht Frankfurt,,34,15,4,15,58:54,4,34
,9,,FCKK'lautern1. FC Kaiserslautern,,34,12,10,12,58:68,-10,34
,10,,MSVDuisburgMSV Duisburg,,34,12,9,13,53:54,-1,33
,11,,SVWBremenSV Werder Bremen,,34,12,7,15,50:52,-2,31
,12,,BOCBochumVfL Bochum 1848,,34,11,9,14,50:68,-18,31
,13,,BSCHertha BSCHertha BSC,,34,11,8,15,53:64,-11,30
,14,,HSVHamburgHamburger SV,,34,10,8,16,53:59,-6,28
,15,,S04SchalkeFC Schalke 04,,34,10,8,16,46:61,-15,28
,16,,H96HannoverHannover 96,,34,9,8,17,49:65,-16,26
,17,,EBSBraunschweigEintracht Braunschweig,,34,9,7,18,33:56,-23,25
,18,,RWOOberhausenRot-Weiß Oberhausen,,34,9,4,21,45:84,-39,22
