Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,24,7,3,101:38,63,55
,2,,S04SchalkeFC Schalke 04,,34,24,4,6,76:35,41,52
,3,,BMGM'gladbachBorussia M'gladbach,,34,18,7,9,82:40,42,43
,4,,KOEKöln1. FC Köln,,34,15,13,6,64:44,20,43
,5,,SGEFrankfurtEintracht Frankfurt,,34,16,7,11,71:61,10,39
,6,,BSCHertha BSCHertha BSC,,34,14,9,11,46:55,-9,37
,7,,FCKK'lautern1. FC Kaiserslautern,,34,14,7,13,59:53,6,35
,8,,VFBStuttgartVfB Stuttgart,,34,13,9,12,52:56,-4,35
,9,,BOCBochumVfL Bochum 1848,,34,14,6,14,59:69,-10,34
,10,,HSVHamburgHamburger SV,,34,13,7,14,52:52,0,33
,11,,SVWBremenSV Werder Bremen,,34,11,9,14,63:58,5,31
,12,,EBSBraunschweigEintracht Braunschweig,,34,8,15,11,43:48,-5,31
,13,,F95DüsseldorfFortuna Düsseldorf,,34,10,10,14,40:53,-13,30
,14,,MSVDuisburgMSV Duisburg,,34,10,7,17,36:51,-15,27
,15,,RWOOberhausenRot-Weiß Oberhausen,,34,7,11,16,33:66,-33,25
,16,,H96HannoverHannover 96,,34,10,3,21,54:69,-15,23
,17,,BVBDortmundBorussia Dortmund,,34,6,8,20,34:83,-49,20
,18,,DSCBielefeldDSC Arminia Bielefeld,,0,0,0,0,0:0,0,0
