Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,29,4,1,98:18,80,91
,2,,BVBDortmundBorussia Dortmund,,34,19,9,6,81:42,39,66
,3,,B04LeverkusenBayer 04 Leverkusen,,34,19,8,7,65:39,26,65
,4,,S04SchalkeFC Schalke 04,,34,16,7,11,58:50,8,55
,5,,SCFFreiburgSC Freiburg,,34,14,9,11,45:40,5,51
,6,,SGEFrankfurtEintracht Frankfurt,,34,14,9,11,49:46,3,51
,7,,HSVHamburgHamburger SV,,34,14,6,14,42:53,-11,48
,8,,BMGM'gladbachBorussia M'gladbach,,34,12,11,11,45:49,-4,47
,9,,H96HannoverHannover 96,,34,13,6,15,60:62,-2,45
,10,,FCNNürnberg1. FC Nürnberg,,34,11,11,12,39:47,-8,44
,11,,WOBWolfsburgVfL Wolfsburg,,34,10,13,11,47:52,-5,43
,12,,VFBStuttgartVfB Stuttgart,,34,12,7,15,37:55,-18,43
,13,,M05Mainz1. FSV Mainz 05,,34,10,12,12,42:44,-2,42
,14,,SVWBremenSV Werder Bremen,,34,8,10,16,50:66,-16,34
,15,,FCAAugsburgFC Augsburg,,34,8,9,17,33:51,-18,33
,16,,TSGHoffenheimTSG Hoffenheim,,34,8,7,19,42:67,-25,31
,17,,F95DüsseldorfFortuna Düsseldorf,,34,7,9,18,39:57,-18,30
,18,,SGFFürthSpVgg Greuther Fürth,,34,4,9,21,26:60,-34,21
