Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BMGM'gladbachBorussia M'gladbach,,34,16,13,5,66:37,29,45
,2,,HSVHamburgHamburger SV,,34,17,7,10,59:32,27,41
,3,,FCBFC BayernFC Bayern München,,34,15,10,9,72:50,22,40
,4,,KOEKöln1. FC Köln,,34,14,11,9,62:45,17,39
,5,,EBSBraunschweigEintracht Braunschweig,,34,14,11,9,52:48,4,39
,6,,S04SchalkeFC Schalke 04,,34,13,11,10,76:55,21,37
,7,,FCKK'lautern1. FC Kaiserslautern,,34,15,7,12,66:60,6,37
,8,,RWEEssenRot-Weiss Essen,,34,13,11,10,61:67,-6,37
,9,,SGEFrankfurtEintracht Frankfurt,,34,13,10,11,79:58,21,36
,10,,MSVDuisburgMSV Duisburg,,34,13,7,14,55:62,-7,33
,11,,BSCHertha BSCHertha BSC,,34,11,10,13,59:61,-2,32
,12,,F95DüsseldorfFortuna Düsseldorf,,34,10,10,14,47:57,-10,30
,13,,SVWBremenSV Werder Bremen,,34,11,8,15,44:55,-11,30
,14,,BOCBochumVfL Bochum 1848,,34,12,6,16,49:62,-13,30
,15,,KSCKarlsruheKarlsruher SC,,34,12,6,16,46:59,-13,30
,16,,H96HannoverHannover 96,,34,9,9,16,48:60,-12,27
,17,,OFFOffenbachKickers Offenbach,,34,9,9,16,40:72,-32,27
,18,,KREUerdingenBayer 05 Uerdingen,,34,6,10,18,28:69,-41,22
