Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,24,5,5,75:33,42,77
,2,,S04SchalkeFC Schalke 04,,34,20,3,11,56:46,10,63
,3,,SVWBremenSV Werder Bremen,,34,18,5,11,68:37,31,59
,4,,BSCHertha BSCHertha BSC,,34,15,13,6,59:31,28,58
,5,,VFBStuttgartVfB Stuttgart,,34,17,7,10,54:40,14,58
,6,,B04LeverkusenBayer 04 Leverkusen,,34,16,9,9,65:44,21,57
,7,,BVBDortmundBorussia Dortmund,,34,15,10,9,47:44,3,55
,8,,HSVHamburgHamburger SV,,34,16,3,15,55:50,5,51
,9,,WOBWolfsburgVfL Wolfsburg,,34,15,3,16,49:51,-2,48
,10,,H96HannoverHannover 96,,34,13,6,15,34:36,-2,45
,11,,M05Mainz1. FSV Mainz 05,,34,12,7,15,50:55,-5,43
,12,,FCKK'lautern1. FC Kaiserslautern,,34,12,6,16,43:52,-9,42
,13,,DSCBielefeldDSC Arminia Bielefeld,,34,11,7,16,37:49,-12,40
,14,,FCNNürnberg1. FC Nürnberg,,34,10,8,16,55:63,-8,38
,15,,BMGM'gladbachBorussia M'gladbach,,34,8,12,14,35:51,-16,36
,16,,BOCBochumVfL Bochum 1848,,34,9,8,17,47:68,-21,35
,17,,FCHRostockFC Hansa Rostock,,34,7,9,18,31:65,-34,30
,18,,SCFFreiburgSC Freiburg,,34,3,9,22,30:75,-45,18
