Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,KOEKöln1. FC Köln,,34,22,4,8,86:41,45,48
,2,,BMGM'gladbachBorussia M'gladbach,,34,20,8,6,86:44,42,48
,3,,BSCHertha BSCHertha BSC,,34,15,10,9,59:48,11,40
,4,,VFBStuttgartVfB Stuttgart,,34,17,5,12,58:40,18,39
,5,,F95DüsseldorfFortuna Düsseldorf,,34,15,9,10,49:36,13,39
,6,,MSVDuisburgMSV Duisburg,,34,15,7,12,62:59,3,37
,7,,SGEFrankfurtEintracht Frankfurt,,34,16,4,14,59:52,7,36
,8,,FCKK'lautern1. FC Kaiserslautern,,34,16,4,14,64:63,1,36
,9,,S04SchalkeFC Schalke 04,,34,14,6,14,47:52,-5,34
,10,,HSVHamburgHamburger SV,,34,14,6,14,61:67,-6,34
,11,,BVBDortmundBorussia Dortmund,,34,14,5,15,57:71,-14,33
,12,,FCBFC BayernFC Bayern München,,34,11,10,13,62:64,-2,32
,13,,EBSBraunschweigEintracht Braunschweig,,34,14,4,16,43:53,-10,32
,14,,BOCBochumVfL Bochum 1848,,34,11,9,14,49:51,-2,31
,15,,SVWBremenSV Werder Bremen,,34,13,5,16,48:57,-9,31
,16,,M601860 MünchenTSV 1860 München,,34,7,8,19,41:60,-19,22
,17,,FCSSaarbrücken1. FC Saarbrücken,,34,6,10,18,39:70,-31,22
,18,,STPSt. PauliFC St. Pauli,,34,6,6,22,44:86,-42,18
