Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,20,13,1,67:31,36,53
,2,,HSVHamburgHamburger SV,,34,19,9,6,69:37,32,47
,3,,BMGM'gladbachBorussia M'gladbach,,34,18,7,9,74:44,30,43
,4,,BVBDortmundBorussia Dortmund,,34,15,10,9,70:50,20,40
,5,,SVWBremenSV Werder Bremen,,34,17,6,11,65:54,11,40
,6,,B04LeverkusenBayer 04 Leverkusen,,34,16,7,11,56:38,18,39
,7,,FCKK'lautern1. FC Kaiserslautern,,34,15,7,12,64:51,13,37
,8,,KREUerdingenBayer 05 Uerdingen,,34,12,11,11,51:49,2,35
,9,,FCNNürnberg1. FC Nürnberg,,34,12,11,11,62:62,0,35
,10,,KOEKöln1. FC Köln,,34,13,9,12,50:53,-3,35
,11,,BOCBochumVfL Bochum 1848,,34,9,14,11,52:44,8,32
,12,,VFBStuttgartVfB Stuttgart,,34,13,6,15,55:49,6,32
,13,,S04SchalkeFC Schalke 04,,34,12,8,14,50:58,-8,32
,14,,WMAMannheimSV Waldhof Mannheim,,34,10,8,16,52:71,-19,28
,15,,SGEFrankfurtEintracht Frankfurt,,34,8,9,17,42:53,-11,25
,16,,HOMHomburgFC Homburg,,34,6,9,19,33:79,-46,21
,17,,F95DüsseldorfFortuna Düsseldorf,,34,7,6,21,42:91,-49,20
,18,,BWBBlau-Weiß 90Blau-Weiß 90 Berlin,,34,3,12,19,36:76,-40,18
