Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,SVWBremenSV Werder Bremen,,34,22,8,4,61:22,39,52
,2,,FCBFC BayernFC Bayern München,,34,22,4,8,83:45,38,48
,3,,KOEKöln1. FC Köln,,34,18,12,4,57:28,29,48
,4,,VFBStuttgartVfB Stuttgart,,34,16,8,10,69:49,20,40
,5,,FCNNürnberg1. FC Nürnberg,,34,13,11,10,44:40,4,37
,6,,HSVHamburgHamburger SV,,34,13,11,10,63:68,-5,37
,7,,BMGM'gladbachBorussia M'gladbach,,34,14,5,15,55:53,2,33
,8,,B04LeverkusenBayer 04 Leverkusen,,34,10,12,12,53:60,-7,32
,9,,SGEFrankfurtEintracht Frankfurt,,34,10,11,13,51:50,1,31
,10,,H96HannoverHannover 96,,34,12,7,15,59:60,-1,31
,11,,KREUerdingenBayer 05 Uerdingen,,34,11,9,14,59:61,-2,31
,12,,BOCBochumVfL Bochum 1848,,34,10,10,14,47:51,-4,30
,13,,BVBDortmundBorussia Dortmund,,34,9,11,14,51:54,-3,29
,14,,FCKK'lautern1. FC Kaiserslautern,,34,11,7,16,53:62,-9,29
,15,,KSCKarlsruheKarlsruher SC,,34,9,11,14,37:55,-18,29
,16,,WMAMannheimSV Waldhof Mannheim,,34,7,14,13,35:50,-15,28
,17,,HOMHomburgFC Homburg,,34,7,10,17,37:70,-33,24
,18,,S04SchalkeFC Schalke 04,,34,8,7,19,48:84,-36,23
