Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,BVBDortmundBorussia Dortmund,,34,25,6,3,80:25,55,81
,2,,FCBFC BayernFC Bayern München,,34,23,4,7,77:22,55,73
,3,,S04SchalkeFC Schalke 04,,34,20,4,10,74:44,30,64
,4,,BMGM'gladbachBorussia M'gladbach,,34,17,9,8,49:24,25,60
,5,,B04LeverkusenBayer 04 Leverkusen,,34,15,9,10,52:44,8,54
,6,,VFBStuttgartVfB Stuttgart,,34,15,8,11,63:46,17,53
,7,,H96HannoverHannover 96,,34,12,12,10,41:45,-4,48
,8,,WOBWolfsburgVfL Wolfsburg,,34,13,5,16,47:60,-13,44
,9,,SVWBremenSV Werder Bremen,,34,11,9,14,49:58,-9,42
,10,,FCNNürnberg1. FC Nürnberg,,34,12,6,16,38:49,-11,42
,11,,TSGHoffenheimTSG Hoffenheim,,34,10,11,13,41:47,-6,41
,12,,SCFFreiburgSC Freiburg,,34,10,10,14,45:61,-16,40
,13,,M05Mainz1. FSV Mainz 05,,34,9,12,13,47:51,-4,39
,14,,FCAAugsburgFC Augsburg,,34,8,14,12,36:49,-13,38
,15,,HSVHamburgHamburger SV,,34,8,12,14,35:57,-22,36
,16,,BSCHertha BSCHertha BSC,,34,7,10,17,38:64,-26,31
,17,,KOEKöln1. FC Köln,,34,8,6,20,39:75,-36,30
,18,,FCKK'lautern1. FC Kaiserslautern,,34,4,11,19,24:54,-30,23
