Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,FCBFC BayernFC Bayern München,,34,18,10,6,61:31,30,46
,2,,AACAachenAlemannia Aachen,,34,16,6,12,57:51,6,38
,3,,BMGM'gladbachBorussia M'gladbach,,34,13,11,10,61:46,15,37
,4,,EBSBraunschweigEintracht Braunschweig,,34,13,11,10,46:43,3,37
,5,,VFBStuttgartVfB Stuttgart,,34,14,8,12,60:54,6,36
,6,,HSVHamburgHamburger SV,,34,13,10,11,55:55,0,36
,7,,S04SchalkeFC Schalke 04,,34,14,7,13,45:40,5,35
,8,,SGEFrankfurtEintracht Frankfurt,,34,13,8,13,46:43,3,34
,9,,SVWBremenSV Werder Bremen,,34,14,6,14,59:59,0,34
,10,,M601860 MünchenTSV 1860 München,,34,15,4,15,44:59,-15,34
,11,,H96HannoverHannover 96,,34,9,14,11,47:45,2,32
,12,,MSVDuisburgMSV Duisburg,,34,8,16,10,33:37,-4,32
,13,,KOEKöln1. FC Köln,,34,13,6,15,47:56,-9,32
,14,,BSCHertha BSCHertha BSC,,34,12,8,14,31:39,-8,32
,15,,FCKK'lautern1. FC Kaiserslautern,,34,12,6,16,45:47,-2,30
,16,,BVBDortmundBorussia Dortmund,,34,11,8,15,49:54,-5,30
,17,,FCNNürnberg1. FC Nürnberg,,34,9,11,14,45:55,-10,29
,18,,OFFOffenbachKickers Offenbach,,34,10,8,16,42:59,-17,28
