#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Barcelone,82,38,45,25,7,6,80,35
2,Real Madrid,70,38,30,20,10,8,70,40
3,Valence,69,38,25,19,12,7,58,33
4,Osasuna,68,38,6,21,5,12,49,43
5,Séville,68,38,15,20,8,10,54,39
6,Celta Vigo,64,38,12,20,4,14,45,33
7,Villarreal,57,38,11,14,15,9,50,39
8,La Coruña,55,38,2,15,10,13,47,45
9,Getafe,54,38,5,15,9,14,54,49
10,Atlético,52,38,8,13,13,12,45,37
11,Saragosse,46,38,-5,10,16,12,46,51
12,Bilbao,45,38,-6,11,12,15,40,46
13,Majorque,43,38,-14,10,13,15,37,51
14,Betis,42,38,-17,10,12,16,34,51
15,Espanyol,41,38,-20,10,11,17,36,56
16,Real Sociedad,40,38,-17,11,7,20,48,65
17,Santander,40,38,-13,9,13,16,36,49
18,Alavés,39,38,-19,9,12,17,35,54
19,Cadix,36,38,-16,8,12,18,36,52
20,Malaga,24,38,-32,5,9,24,36,68
