#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Barcelone,99,38,74,31,6,1,98,24
2,Real Madrid,96,38,67,31,3,4,102,35
3,Valence,71,38,19,21,8,9,59,40
4,Séville,63,38,16,19,6,13,65,49
5,Majorque,62,38,15,18,8,12,59,44
6,Getafe,58,38,10,17,7,14,58,48
7,Villarreal,56,38,1,16,8,14,58,57
8,Bilbao,54,38,-3,15,9,14,50,53
9,Atlético,47,38,-4,13,8,17,57,61
10,La Coruña,47,38,-14,13,8,17,35,49
11,Espanyol,44,38,-17,11,11,16,29,46
12,Osasuna,43,38,-9,11,10,17,37,46
13,Almería,42,38,-12,10,12,16,43,55
14,Saragosse,41,38,-18,10,11,17,46,64
15,Gijon,40,38,-15,9,13,16,36,51
16,Santander,39,38,-17,9,12,17,42,59
17,Malaga,37,38,-6,7,16,15,42,48
18,Valladolid,36,38,-25,7,15,16,37,62
19,Tenerife,36,38,-34,9,9,20,40,74
20,Xerez,34,38,-28,8,10,20,38,66
