#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Barcelone,94,38,89,30,4,4,110,21
2,Real Madrid,92,38,80,30,2,6,118,38
3,Atlético,78,38,38,23,9,6,67,29
4,Valence,77,38,38,22,11,5,70,32
5,Séville,76,38,26,23,7,8,71,45
6,Villarreal,60,38,11,16,12,10,48,37
7,Bilbao,55,38,1,15,10,13,42,41
8,Celta Vigo,51,38,3,13,12,13,47,44
9,Malaga,50,38,-6,14,8,16,42,48
10,Espanyol,49,38,-4,13,10,15,47,51
11,Vallecano,49,38,-22,15,4,19,46,68
12,Real Sociedad,46,38,-7,11,13,14,44,51
13,Elche,41,38,-27,11,8,19,35,62
14,Levante,37,38,-33,9,10,19,34,67
15,Getafe,37,38,-31,10,7,21,33,64
16,La Coruña,35,38,-25,7,14,17,35,60
17,Grenade,35,38,-35,7,14,17,29,64
18,Eibar,35,38,-21,9,8,21,34,55
19,Almería,29,38,-29,8,8,22,35,64
20,Córdoba,20,38,-46,3,11,24,22,68
