#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Real Madrid,93,38,65,29,6,3,106,41
2,Barcelone,90,38,79,28,6,4,116,37
3,Atlético,78,38,43,23,9,6,70,27
4,Séville,72,38,20,21,9,8,69,49
5,Villarreal,67,38,23,19,10,9,56,33
6,Real Sociedad,64,38,6,19,7,12,59,53
7,Bilbao,63,38,10,19,6,13,53,43
8,Espanyol,56,38,-1,15,11,12,49,50
9,Alavés,55,38,-2,14,13,11,41,43
10,Eibar,54,38,5,15,9,14,56,51
11,Malaga,46,38,-6,12,10,16,49,55
12,Valence,46,38,-9,13,7,18,56,65
13,Celta Vigo,45,38,-16,13,6,19,53,69
14,Las Palmas,39,38,-21,10,9,19,53,74
15,Betis,39,38,-23,10,9,19,41,64
16,La Coruña,36,38,-18,8,12,18,43,61
17,Leganes,35,38,-19,8,11,19,36,55
18,Gijon,31,38,-30,7,10,21,42,72
19,Osasuna,22,38,-54,4,10,24,40,94
20,Grenade,20,38,-52,4,8,26,30,82
