#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Barcelone,84,38,44,25,9,4,73,29
2,Real Madrid,80,38,39,25,5,8,71,32
3,Villarreal,65,38,32,18,11,9,69,37
4,Betis,62,38,12,16,14,8,62,50
5,Espanyol,61,38,8,17,10,11,54,46
6,Séville,60,38,3,17,9,12,44,41
7,Valence,58,38,15,14,16,8,54,39
8,La Coruña,51,38,-4,12,15,11,46,50
9,Bilbao,51,38,5,14,9,15,59,54
10,Malaga,51,38,-8,15,6,17,40,48
11,Atlético,50,38,6,13,11,14,40,34
12,Saragosse,50,38,-5,14,8,16,52,57
13,Getafe,47,38,-8,12,11,15,38,46
14,Real Sociedad,47,38,-9,13,8,17,47,56
15,Osasuna,46,38,-19,12,10,16,46,65
16,Santander,44,38,-17,12,8,18,41,58
17,Majorque,39,38,-21,10,9,19,42,63
18,Levante,37,38,-19,9,10,19,39,58
19,Numancia,29,38,-31,6,11,21,30,61
20,Albacete,28,38,-23,6,10,22,33,56
