#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Barcelone,100,38,75,32,4,2,115,40
2,Real Madrid,85,38,61,26,7,5,103,42
3,Atlético,76,38,34,23,7,8,65,31
4,Real Sociedad,66,38,21,18,12,8,70,49
5,Valence,65,38,13,19,8,11,67,54
6,Malaga,57,38,3,16,9,13,53,50
7,Betis,56,38,1,16,8,14,57,56
8,Vallecano,53,38,-16,16,5,17,50,66
9,Séville,50,38,4,14,8,16,58,54
10,Getafe,47,38,-14,13,8,17,43,57
11,Levante,46,38,-17,12,10,16,40,57
12,Bilbao,45,38,-21,12,9,17,44,65
13,Espanyol,44,38,-9,11,11,16,43,52
14,Valladolid,43,38,-9,11,10,17,49,58
15,Grenade,42,38,-17,11,9,18,37,54
16,Osasuna,39,38,-17,10,9,19,33,50
17,Celta Vigo,37,38,-15,10,7,21,37,52
18,Majorque,36,38,-29,9,9,20,43,72
19,La Coruña,35,38,-23,8,11,19,47,70
20,Saragosse,34,38,-25,9,7,22,37,62
