#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Real Madrid,100,38,89,32,4,2,121,32
2,Barcelone,91,38,85,28,7,3,114,29
3,Valence,61,38,15,17,10,11,59,44
4,Malaga,58,38,1,17,7,14,54,53
5,Atlético,56,38,7,15,11,12,53,46
6,Levante,55,38,4,16,7,15,54,50
7,Osasuna,54,38,-17,13,15,10,44,61
8,Majorque,52,38,-4,14,10,14,42,46
9,Séville,50,38,1,13,11,14,48,47
10,Bilbao,49,38,-3,12,13,13,49,52
11,Getafe,47,38,-11,12,11,15,40,51
12,Real Sociedad,47,38,-6,12,11,15,46,52
13,Betis,47,38,-9,13,8,17,47,56
14,Espanyol,46,38,-10,12,10,16,46,56
15,Vallecano,43,38,-20,13,4,21,53,73
16,Saragosse,43,38,-25,12,7,19,36,61
17,Grenade,42,38,-21,12,6,20,35,56
18,Villarreal,41,38,-14,9,14,15,39,53
19,Gijon,37,38,-27,10,7,21,42,69
20,Santander,27,38,-35,4,15,19,28,63
