#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Barcelone,87,38,54,26,9,3,90,36
2,Atlético,76,38,26,22,10,6,55,29
3,Real Madrid,68,38,17,21,5,12,63,46
4,Valence,61,38,16,15,16,7,51,35
5,Getafe,59,38,13,15,14,9,48,35
6,Séville,59,38,15,17,8,13,62,47
7,Espanyol,53,38,-2,14,11,13,48,50
8,Bilbao,53,38,-4,13,14,11,41,45
9,Real Sociedad,50,38,-1,13,11,14,45,46
10,Betis,50,38,-8,14,8,16,44,52
11,Alavés,50,38,-11,13,11,14,39,50
12,Eibar,47,38,-4,11,14,13,46,50
13,Leganes,45,38,-6,11,12,15,37,43
14,Villarreal,44,38,-3,10,14,14,49,52
15,Levante,44,38,-7,11,11,16,59,66
16,Valladolid,41,38,-19,10,11,17,32,51
17,Celta Vigo,41,38,-9,10,11,17,53,62
18,Girona,37,38,-16,9,10,19,37,53
19,Huesca,33,38,-22,7,12,19,43,65
20,Vallecano,32,38,-29,8,8,22,41,70
