#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Barcelone,93,38,70,28,9,1,99,29
2,Atlético,79,38,36,23,10,5,58,22
3,Real Madrid,76,38,50,22,10,6,94,44
4,Valence,73,38,27,22,7,9,65,38
5,Villarreal,61,38,7,18,7,13,57,50
6,Betis,60,38,-1,18,6,14,60,61
7,Séville,58,38,-9,17,7,14,49,58
8,Getafe,55,38,9,15,10,13,42,33
9,Eibar,51,38,-6,14,9,15,44,50
10,Girona,51,38,-9,14,9,15,50,59
11,Espanyol,49,38,-6,12,13,13,36,42
12,Real Sociedad,49,38,7,14,7,17,66,59
13,Celta Vigo,49,38,-1,13,10,15,59,60
14,Alavés,47,38,-10,15,2,21,40,50
15,Levante,46,38,-14,11,13,14,44,58
16,Bilbao,43,38,-8,10,13,15,41,49
17,Leganes,43,38,-17,12,7,19,34,51
18,La Coruña,29,38,-38,6,11,21,38,76
19,Las Palmas,22,38,-50,5,7,26,24,74
20,Malaga,20,38,-37,5,5,28,24,61
