#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Real Madrid,85,38,48,27,4,7,84,36
2,Villarreal,77,38,23,24,5,9,63,40
3,Barcelone,67,38,33,19,10,9,76,43
4,Atlético,64,38,19,19,7,12,66,47
5,Séville,64,38,26,20,4,14,75,49
6,Santander,60,38,1,17,9,12,42,41
7,Majorque,59,38,15,15,14,9,69,54
8,Almería,52,38,-3,14,10,14,42,45
9,La Coruña,52,38,-1,15,7,16,46,47
10,Valence,51,38,-14,15,6,17,48,62
11,Bilbao,50,38,-3,13,11,14,40,43
12,Espanyol,48,38,-10,13,9,16,43,53
13,Betis,47,38,-6,12,11,15,45,51
14,Getafe,47,38,-4,12,11,15,44,48
15,Valladolid,45,38,-15,11,12,15,42,57
16,Huelva,44,38,-20,11,11,16,40,60
17,Osasuna,43,38,-7,12,7,19,37,44
18,Saragosse,42,38,-11,10,12,16,50,61
19,Murcia,30,38,-29,7,9,22,36,65
20,Levante,26,38,-42,7,5,26,33,75
