0,1,2
1,PARIS SAINT-GERMAIN,83 38 25 8 5 69 23 +46
2,OLYMPIQUE DE MARSEILLE,71 38 21 8 9 42 36 +6
3,OLYMPIQUE LYONNAIS,67 38 19 10 9 61 38 +23
4,OGC NICE,64 38 18 10 10 57 46 +11
5,AS SAINT-ÉTIENNE,63 38 16 15 7 60 32 +28
6,LOSC LILLE,62 38 16 14 8 59 40 +19
7,FC GIRONDINS DE BORDEAUX,55 38 13 16 9 40 34 +6
8,FC LORIENT,53 38 14 11 13 57 58 -1
9,MONTPELLIER HÉRAULT SC,52 38 15 7 16 54 51 +3
10,TOULOUSE FC,51 38 13 12 13 49 47 +2
11,VALENCIENNES FC,48 38 12 12 14 49 53 -4
12,SC BASTIA,47 38 13 8 17 50 66 -16
13,STADE RENNAIS FC,46 38 13 7 18 48 59 -11
14,STADE DE REIMS,43 38 10 13 15 33 42 -9
15,FC SOCHAUX-MONTBÉLIARD,41 38 10 11 17 41 57 -16
16,EVIAN THONON GAILLARD F. C.,40 38 10 10 18 46 53 -7
17,AC AJACCIO,40 38 9 15 14 39 51 -12
18,AS NANCY LORRAINE,38 38 9 11 18 38 58 -20
19,ESTAC TROYES,37 38 8 13 17 43 61 -18
20,STADE BRESTOIS 29,29 38 8 5 25 32 62 -30
