0,1,2
1,OLYMPIQUE LYONNAIS,84 38 25 9 4 73 31 +42
2,FC GIRONDINS DE BORDEAUX,69 38 18 15 5 43 25 +18
3,LOSC LILLE,62 38 16 14 8 56 31 +25
4,RC LENS,60 38 14 18 6 48 34 +14
5,OLYMPIQUE DE MARSEILLE,60 38 16 12 10 44 35 +9
6,AJ AUXERRE,59 38 17 8 13 50 39 +11
7,STADE RENNAIS FC,59 38 18 5 15 48 49 -1
8,OGC NICE,58 38 16 10 12 36 31 +5
9,PARIS SAINT-GERMAIN,52 38 13 13 12 44 38 +6
10,AS MONACO,52 38 13 13 12 42 36 +6
11,LE MANS FC,52 38 13 13 12 33 36 -3
12,AS NANCY LORRAINE,48 38 12 12 14 35 37 -2
13,AS SAINT-ÉTIENNE,47 38 11 14 13 29 39 -10
14,FC NANTES,45 38 11 12 15 37 41 -4
15,FC SOCHAUX-MONTBÉLIARD,44 38 11 11 16 34 47 -13
16,TOULOUSE FC,41 38 10 11 17 36 47 -11
17,ESTAC TROYES,39 38 9 12 17 37 47 -10
18,AC AJACCIO,33 38 8 9 21 27 53 -26
19,RC STRASBOURG ALSACE,29 38 5 14 19 33 56 -23
20,FC METZ,29 38 6 11 21 26 59 -33
