0,1,2
1,OLYMPIQUE LYONNAIS,79 38 22 13 3 56 22 +34
2,LOSC LILLE,67 38 18 13 7 52 29 +23
3,AS MONACO,63 38 15 18 5 52 35 +17
4,STADE RENNAIS FC,55 38 15 10 13 49 42 +7
5,OLYMPIQUE DE MARSEILLE,55 38 15 10 13 47 42 +5
6,AS SAINT-ÉTIENNE,53 38 12 17 9 47 34 +13
7,RC LENS,52 38 13 13 12 45 39 +6
8,AJ AUXERRE,52 38 14 10 14 48 47 +1
9,PARIS SAINT-GERMAIN,51 38 12 15 11 40 41 -1
10,FC SOCHAUX-MONTBÉLIARD,50 38 13 11 14 42 41 +1
11,RC STRASBOURG ALSACE,48 38 12 12 14 42 43 -1
12,OGC NICE,46 38 10 16 12 38 45 -7
13,TOULOUSE FC,46 38 12 10 16 36 43 -7
14,AC AJACCIO,45 38 10 15 13 36 40 -4
15,FC GIRONDINS DE BORDEAUX,44 38 8 20 10 37 41 -4
16,FC METZ,44 38 10 14 14 33 45 -12
17,FC NANTES,43 38 10 13 15 33 38 -5
18,STADE MALHERBE CAEN,42 38 10 12 16 36 60 -24
19,SC BASTIA,41 38 11 8 19 32 48 -16
20,F.C. ISTRES OUEST PROVENCE,32 38 6 14 18 25 51 -26
