0,1,2
1,FC NANTES,79 38 21 16 1 71 34 +37
2,OLYMPIQUE LYONNAIS,69 38 19 12 7 56 38 +18
3,PARIS SAINT-GERMAIN,67 38 20 7 11 58 41 +17
4,AJ AUXERRE,62 38 15 17 6 59 34 +25
5,RC LENS,59 38 15 14 9 48 44 +4
6,AS MONACO,57 38 15 12 11 60 39 +21
7,FC GIRONDINS DE BORDEAUX,57 38 16 9 13 52 47 +5
8,FC METZ,56 38 16 8 14 50 44 +6
9,A.S. CANNES,53 38 15 8 15 56 48 +8
10,RC STRASBOURG ALSACE,51 38 13 12 13 43 43 0
11,F.C. MARTIGUES,51 38 13 12 13 37 49 -12
12,HAVRE ATHLETIC CLUB,49 38 12 13 13 46 49 -3
13,STADE RENNAIS FC,48 38 12 12 14 53 55 -2
14,LOSC LILLE,48 38 13 9 16 29 44 -15
15,SC BASTIA,44 38 11 11 16 44 56 -12
16,OGC NICE,43 38 11 10 17 39 52 -13
17,MONTPELLIER HÉRAULT SC,41 38 9 14 15 38 53 -15
18,AS SAINT-ÉTIENNE,38 38 9 11 18 45 55 -10
19,STADE MALHERBE CAEN,36 38 10 6 22 38 58 -20
20,FC SOCHAUX-MONTBÉLIARD,23 38 6 5 27 29 68 -39
