0,1,2
1,AJ AUXERRE,72 38 22 6 10 66 30 +36
2,PARIS SAINT-GERMAIN,68 38 19 11 8 65 36 +29
3,AS MONACO,68 38 19 11 8 64 39 +25
4,FC METZ,65 38 18 11 9 42 30 +12
5,RC LENS,63 38 16 15 7 45 31 +14
6,MONTPELLIER HÉRAULT SC,60 38 17 9 12 51 40 +11
7,FC NANTES,55 38 14 13 11 44 42 +2
8,STADE RENNAIS FC,54 38 13 15 10 44 41 +3
9,RC STRASBOURG ALSACE,54 38 14 12 12 46 44 +2
10,EN AVANT GUINGAMP,53 38 13 14 11 34 33 +1
11,OLYMPIQUE LYONNAIS,48 38 10 18 10 41 41 0
12,OGC NICE,45 38 12 9 17 37 44 -7
13,HAVRE ATHLETIC CLUB,45 38 11 12 15 33 45 -12
14,A.S. CANNES,44 38 12 8 18 45 51 -6
15,SC BASTIA,44 38 12 8 18 45 55 -10
16,FC GIRONDINS DE BORDEAUX,42 38 11 9 18 44 52 -8
17,LOSC LILLE,39 38 9 12 17 27 50 -23
18,F.C. GUEUGNON,38 38 8 14 16 27 46 -19
19,AS SAINT-ÉTIENNE,34 38 6 16 16 36 59 -23
20,F.C. MARTIGUES,34 38 9 7 22 31 58 -27
