0,1,2
1,MONTPELLIER HÉRAULT SC,82 38 25 7 6 68 34 +34
2,PARIS SAINT-GERMAIN,79 38 23 10 5 75 41 +34
3,LOSC LILLE,74 38 21 11 6 72 39 +33
4,OLYMPIQUE LYONNAIS,64 38 19 7 12 64 51 +13
5,FC GIRONDINS DE BORDEAUX,61 38 16 13 9 53 41 +12
6,STADE RENNAIS FC,60 38 17 9 12 53 44 +9
7,AS SAINT-ÉTIENNE,57 38 16 9 13 49 45 +4
8,TOULOUSE FC,56 38 15 11 12 37 34 +3
9,EVIAN THONON GAILLARD F. C.,50 38 13 11 14 54 55 -1
10,OLYMPIQUE DE MARSEILLE,48 38 12 12 14 45 41 +4
11,AS NANCY LORRAINE,45 38 11 12 15 38 48 -10
12,VALENCIENNES FC,43 38 12 7 19 40 50 -10
13,OGC NICE,42 38 10 12 16 39 46 -7
14,FC SOCHAUX-MONTBÉLIARD,42 38 11 9 18 40 60 -20
15,STADE BRESTOIS 29,41 38 8 17 13 31 38 -7
16,AC AJACCIO,41 38 9 14 15 40 61 -21
17,FC LORIENT,39 38 9 12 17 35 49 -14
18,STADE MALHERBE CAEN,38 38 9 11 18 39 59 -20
19,DIJON FCO,36 38 9 9 20 38 63 -25
20,AJ AUXERRE,34 38 7 13 18 46 57 -11
