0,1,2
1,OLYMPIQUE LYONNAIS,68 38 19 11 8 63 41 +22
2,AS MONACO,67 38 19 10 9 66 33 +33
3,OLYMPIQUE DE MARSEILLE,65 38 19 8 11 41 36 +5
4,FC GIRONDINS DE BORDEAUX,64 38 18 10 10 57 36 +21
5,FC SOCHAUX-MONTBÉLIARD,64 38 17 13 8 46 31 +15
6,AJ AUXERRE,64 38 18 10 10 38 29 +9
7,EN AVANT GUINGAMP,62 38 19 5 14 59 46 +13
8,RC LENS,57 38 14 15 9 43 31 +12
9,FC NANTES,56 38 16 8 14 37 39 -2
10,OGC NICE,55 38 13 16 9 39 31 +8
11,PARIS SAINT-GERMAIN,54 38 14 12 12 47 36 +11
12,SC BASTIA,47 38 12 11 15 40 48 -8
13,RC STRASBOURG ALSACE,45 38 11 12 15 40 54 -14
14,LOSC LILLE,42 38 10 12 16 29 44 -15
15,STADE RENNAIS FC,40 38 10 10 18 35 45 -10
16,MONTPELLIER HÉRAULT SC,40 38 10 10 18 37 54 -17
17,AC AJACCIO,39 38 9 12 17 29 49 -20
18,HAVRE ATHLETIC CLUB,38 38 10 8 20 27 47 -20
19,C.S. SEDAN ARDENNES,36 38 9 9 20 41 59 -18
20,ESTAC TROYES,31 38 7 10 21 23 48 -25
