0,1,2
1,OLYMPIQUE LYONNAIS,79 38 24 7 7 74 37 +37
2,FC GIRONDINS DE BORDEAUX,75 38 22 9 7 65 38 +27
3,OLYMPIQUE DE MARSEILLE,62 38 17 11 10 58 45 +13
4,AS NANCY LORRAINE,60 38 15 15 8 44 30 +14
5,AS SAINT-ÉTIENNE,58 38 16 10 12 47 34 +13
6,STADE RENNAIS FC,58 38 16 10 12 47 44 +3
7,LOSC LILLE,57 38 13 18 7 45 32 +13
8,OGC NICE,55 38 13 16 9 35 30 +5
9,LE MANS FC,53 38 14 11 13 46 49 -3
10,FC LORIENT,52 38 12 16 10 32 35 -3
11,STADE MALHERBE CAEN,51 38 13 12 13 48 53 -5
12,AS MONACO,47 38 13 8 17 40 48 -8
13,VALENCIENNES FC,45 38 12 9 17 42 40 +2
14,FC SOCHAUX-MONTBÉLIARD,44 38 10 14 14 34 43 -9
15,AJ AUXERRE,44 38 12 8 18 33 52 -19
16,PARIS SAINT-GERMAIN,43 38 10 13 15 37 45 -8
17,TOULOUSE FC,42 38 9 15 14 36 42 -6
18,RC LENS,40 38 9 13 16 43 52 -9
19,RC STRASBOURG ALSACE,35 38 9 8 21 34 55 -21
20,FC METZ,24 38 5 9 24 28 64 -36
