0,1,2
1,PARIS SAINT-GERMAIN,96 38 30 6 2 102 19 +83
2,OLYMPIQUE LYONNAIS,65 38 19 8 11 67 43 +24
3,AS MONACO,65 38 17 14 7 57 50 +7
4,OGC NICE,63 38 18 9 11 58 41 +17
5,LOSC LILLE,60 38 15 15 8 39 27 +12
6,AS SAINT-ÉTIENNE,58 38 17 7 14 42 37 +5
7,STADE MALHERBE CAEN,54 38 16 6 16 39 52 -13
8,STADE RENNAIS FC,52 38 13 13 12 52 54 -2
9,ANGERS SCO,50 38 13 11 14 40 38 +2
10,SC BASTIA,50 38 14 8 16 36 42 -6
11,FC GIRONDINS DE BORDEAUX,50 38 12 14 12 50 57 -7
12,MONTPELLIER HÉRAULT SC,49 38 14 7 17 49 47 +2
13,OLYMPIQUE DE MARSEILLE,48 38 10 18 10 48 42 +6
14,FC NANTES,48 38 12 12 14 33 44 -11
15,FC LORIENT,46 38 11 13 14 47 58 -11
16,EN AVANT GUINGAMP,44 38 11 11 16 47 56 -9
17,TOULOUSE FC,40 38 9 13 16 45 55 -10
18,STADE DE REIMS,39 38 10 9 19 44 57 -13
19,GAZELEC FC AJACCIO,37 38 8 13 17 37 58 -21
20,ESTAC TROYES,18 38 3 9 26 28 83 -55
