0,1,2
1,PARIS SAINT-GERMAIN,59 38 24 11 3 54 22 +32
2,OLYMPIQUE DE MARSEILLE,51 38 19 13 6 56 33 +23
3,AJ AUXERRE,46 38 18 10 10 54 29 +25
4,FC GIRONDINS DE BORDEAUX,46 38 19 8 11 54 37 +17
5,FC NANTES,45 38 17 11 10 47 32 +15
6,A.S. CANNES,44 38 16 12 10 50 43 +7
7,MONTPELLIER HÉRAULT SC,43 38 15 13 10 41 37 +4
8,OLYMPIQUE LYONNAIS,42 38 17 8 13 38 40 -2
9,AS MONACO,41 38 14 13 11 52 36 +16
10,RC LENS,39 38 13 13 12 49 40 +9
11,AS SAINT-ÉTIENNE,37 38 12 13 13 38 36 +2
12,FC METZ,37 38 12 13 13 36 35 +1
13,RC STRASBOURG ALSACE,34 38 10 14 14 43 47 -4
14,FC SOCHAUX-MONTBÉLIARD,33 38 10 13 15 39 48 -9
15,LOSC LILLE,32 38 8 16 14 41 52 -11
16,STADE MALHERBE CAEN,31 38 12 7 19 29 54 -25
17,HAVRE ATHLETIC CLUB,29 38 7 15 16 29 48 -19
18,F.C. MARTIGUES,27 38 5 17 16 37 58 -21
19,TOULOUSE FC,23 38 4 15 19 26 60 -34
20,ANGERS SCO,21 38 4 13 21 37 63 -26
