0,1,2
1,RC LENS,68 34 21 5 8 55 30 +25
2,FC METZ,68 34 20 8 6 48 28 +20
3,AS MONACO,59 34 18 5 11 51 33 +18
4,OLYMPIQUE DE MARSEILLE,57 34 16 9 9 47 27 +20
5,FC GIRONDINS DE BORDEAUX,56 34 15 11 8 49 41 +8
6,OLYMPIQUE LYONNAIS,53 34 16 5 13 39 37 +2
7,AJ AUXERRE,51 34 14 9 11 55 45 +10
8,PARIS SAINT-GERMAIN,50 34 14 8 12 43 35 +8
9,SC BASTIA,50 34 13 11 10 36 31 +5
10,HAVRE ATHLETIC CLUB,44 34 10 14 10 38 35 +3
11,FC NANTES,41 34 11 8 15 35 41 -6
12,MONTPELLIER HÉRAULT SC,41 34 10 11 13 32 42 -10
13,RC STRASBOURG ALSACE,37 34 9 10 15 39 43 -4
14,STADE RENNAIS FC,36 34 9 9 16 36 48 -12
15,TOULOUSE FC,36 34 9 9 16 26 46 -20
16,EN AVANT GUINGAMP,35 34 9 8 17 30 42 -12
17,CHÂTEAUROUX,31 34 8 7 19 31 59 -28
18,A.S. CANNES,28 34 7 7 20 32 59 -27
