0,1,2
1,OLYMPIQUE LYONNAIS,81 38 24 9 5 64 27 +37
2,OLYMPIQUE DE MARSEILLE,64 38 19 7 12 53 38 +15
3,TOULOUSE FC,58 38 17 7 14 44 43 +1
4,STADE RENNAIS FC,57 38 14 15 9 38 30 +8
5,RC LENS,57 38 15 12 11 47 41 +6
6,FC GIRONDINS DE BORDEAUX,57 38 16 9 13 39 35 +4
7,FC SOCHAUX-MONTBÉLIARD,57 38 15 12 11 46 48 -2
8,AJ AUXERRE,54 38 13 15 10 41 41 0
9,AS MONACO,51 38 13 12 13 45 38 +7
10,LOSC LILLE,50 38 13 11 14 45 43 +2
11,AS SAINT-ÉTIENNE,49 38 14 7 17 52 50 +2
12,LE MANS FC,49 38 11 16 11 45 46 -1
13,AS NANCY LORRAINE,49 38 13 10 15 37 44 -7
14,FC LORIENT,49 38 12 13 13 33 40 -7
15,PARIS SAINT-GERMAIN,48 38 12 12 14 42 42 0
16,OGC NICE,43 38 9 16 13 34 40 -6
17,VALENCIENNES FC,43 38 11 10 17 36 48 -12
18,ESTAC TROYES,39 38 9 12 17 39 54 -15
19,C.S. SEDAN ARDENNES,35 38 7 14 17 46 58 -12
20,FC NANTES,34 38 7 13 18 29 49 -20
