POS,Club,PTS,P,W,D,L,GF,GA,GD,Trend,Unnamed: 11
1,INTER INT,85,38,25,10,3,69,26,43,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
2,ROMA ROM,82,38,24,10,4,72,37,35,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
3,JUVENTUS JUV,72,38,20,12,6,72,37,35,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
4,FIORENTINA FIO,66,38,19,9,10,55,39,16,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
5,MILAN MIL,64,38,18,10,10,66,38,28,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
6,SAMPDORIA SAM,60,38,17,9,12,56,46,10,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
7,UDINESE UDI,57,38,16,9,13,48,53,-5,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
8,NAPOLI NAP,50,38,14,8,16,50,53,-3,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
9,ATALANTA ATA,48,38,12,12,14,52,56,-4,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
10,GENOA GEN,48,38,13,9,16,44,52,-8,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
11,PALERMO PAL,47,38,12,11,15,47,57,-10,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
12,LAZIO LAZ,46,38,11,13,14,47,51,-4,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
13,ROBUR SIENA SIE,44,38,9,17,12,40,45,-5,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
14,CAGLIARI CAG,42,38,11,9,18,40,56,-16,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
15,TORINO TOR,40,38,8,16,14,36,49,-13,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
16,REGGINA RGI,40,38,9,13,16,37,56,-19,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
17,CATANIA CAT,37,38,8,13,17,33,45,-12,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
18,EMPOLI EMP,36,38,9,9,20,29,52,-23,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
19,PARMA PAR,34,38,7,13,18,42,62,-20,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
20,LIVORNO LIV,30,38,6,12,20,35,60,-25,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
