POS,Club,PTS,P,W,D,L,GF,GA,GD,Trend,Unnamed: 11
1,JUVENTUS JUV,83,38,26,5,7,76,43,33,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
2,INTER INT,82,38,24,10,4,81,36,45,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
3,ATALANTA ATA,78,38,23,9,6,98,48,50,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
4,LAZIO LAZ,78,38,24,6,8,79,42,37,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
5,ROMA ROM,70,38,21,7,10,77,51,26,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
6,MILAN MIL,66,38,19,9,10,63,46,17,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
7,NAPOLI NAP,62,38,18,8,12,61,50,11,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
8,SASSUOLO SAS,51,38,14,9,15,69,63,6,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
9,HELLAS VERONA VER,49,38,12,13,13,47,51,-4,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
10,FIORENTINA FIO,49,38,12,13,13,51,48,3,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
11,PARMA PAR,49,38,14,7,17,56,57,-1,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
12,BOLOGNA BOL,47,38,12,11,15,52,65,-13,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
13,UDINESE UDI,45,38,12,9,17,37,51,-14,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
14,CAGLIARI CAG,45,38,11,12,15,52,56,-4,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
15,SAMPDORIA SAM,42,38,12,6,20,48,65,-17,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
16,TORINO TOR,40,38,11,7,20,46,68,-22,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
17,GENOA GEN,39,38,10,9,19,47,73,-26,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
18,LECCE LEC,35,38,9,8,21,52,85,-33,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
19,BRESCIA BRE,25,38,6,7,25,35,79,-44,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
20,SPAL SPA,20,38,5,5,28,27,77,-50,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
